dept,lab,hood,exclude
bio,bio,BIOLOGY.FHC.1107.HD.OPN,FALSE
bio,bio,BIOLOGY.FHC.1111.HD.OPN,FALSE
bio,bio,BIOLOGY.FHC.RM1022.HD.OPN,FALSE
bio,bio,BIOLOGY.FHC.RM1028.HD.OPN,FALSE
bio,bio,BIOLOGY.FHC.RM1102.HD.OPN,FALSE
bio,bio,BIOLOGY.FHC.RM2006.HD.OPN,FALSE
bio,bio,BIOLOGY.FHC.RM2007A.HD.OPN,FALSE
bio,bio,BIOLOGY.FHC.RM2018.HD.OPN,FALSE
bio,bio,BIOLOGY.FHC.RM2032.HD.OPN,FALSE
bio,bio,BIOLOGY.FHC.RM2040.HD.OPN,FALSE
bio,bio,BIOLOGY.FHC.RM2059.HD.OPN,FALSE
bio,bio,BIOLOGY.FHC.RM3033.HD.OPN,FALSE
bio,bio,BIOLOGY.FHC.RM3039B.HD.OPN,FALSE
bio,bio,BIOLOGY.FHC.RM3050.HD.OPN,FALSE
bio,bio,BIOLOGY.FHC.RM3060.HD.OPN,FALSE
bio,bio,BIOLOGY.FHC.RM4040.HD.OPN,FALSE
bio,bio,BIOLOGY.FHC.RM4042.HD.OPN,FALSE
bio,bio,BIOLOGY.FHC.RM4050.HD.OPN,FALSE
bio,bio,BIOLOGY.FHC.RM4060A.HD.OPN,FALSE
bio,bio,BIOLOGY.FHC.RM4064.HD.OPN,FALSE
bio,bio,BIOLOGY.FHC.RM4071.HD.OPN,FALSE
bio,bio,BIOLOGY.FHC.RM4073.HD.OPN,FALSE
bio,bio,BIOLOGY.FHC.RM4076.HD.OPN,FALSE
bio,bio,BIOLOGY.FHC.RM4088.HD.OPN,FALSE
bio,bio,BIOLOGY.FHC.RM4088A.HD.OPN,FALSE
bio,bio,BIOLOGY.FHC.RM4110.HD.OPN,FALSE
bio,bio,BIOLOGY.FHC.RM4111.HD.OPN,FALSE
chem,balskus,CHEM.MALLIN.FHC.M303E:EXH FLOW,FALSE
chem,balskus,CHEM.MALLIN.FHC.M303G:EXH FLOW,FALSE
chem,balskus,CHEM.MALLIN.FHC1.M303C:EXH FLOW,FALSE
chem,balskus,CHEM.MALLIN.FHC1.M303F:EXH FLOW,FALSE
chem,balskus,CHEM.MALLIN.FHC1.M303H:EXH FLOW,FALSE
chem,balskus,CHEM.MALLIN.FHC2.M303C:EXH FLOW,FALSE
chem,balskus,CHEM.MALLIN.FHC2.M303F:EXH FLOW,FALSE
chem,balskus,CHEM.MALLIN.FHC2.M303H:EXH FLOW,FALSE
chem,betley,CHEM.MALLIN.RM306C.FHC1:EXH FLOW,FALSE
chem,betley,CHEM.MALLIN.RM306C.FHC2:EXH FLOW,FALSE
chem,betley,CHEM.MALLIN.RM306M.FHC1:EXH FLOW,FALSE
chem,betley,CHEM.MALLIN.RM306M.FHC2:EXH FLOW,FALSE
chem,betley,CHEM.MALLIN.RM306O.FHC1:EXH FLOW,FALSE
chem,betley,CHEM.MALLIN.RM306O.FHC2:EXH FLOW,FALSE
chem,chem,CHEM.COHEN.TEX,TRUE
chem,chem,CHEM.ZHUANG.TEX,TRUE
chem,chem,CHEM.SAGATELIAN.TEX,TRUE
chem,chem,CHEM.LIEBER.TEX,TRUE
chem,shair,CHEM.LINK.FHC.RM320-A:EXH FLOW,FALSE
chem,shair,CHEM.LINK.FHC.RM320B:EXH FLOW,FALSE
chem,shair,CHEM.LINK.FHC.RM320C:EXH FLOW,FALSE
chem,shair,CHEM.LINK.FHC.RM320D:EXH FLOW,FALSE
